Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
104,Angeliño,es ESP,MF,Roma,it Serie A,29-024,1997,4.3,0,4,2,50.0,0.93,0.47,0.00,0.00,0,0
105,Samuele Angori,it ITA,MF,Pisa,it Serie A,22-113,2003,14.0,0,4,1,25.0,0.29,0.07,0.00,0.00,0,0
106,Faustino Anjorin,eng ENG,MF,Torino,it Serie A,24-066,2001,2.1,0,1,0,0.0,0.48,0.00,0.00,,0,0
107,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,21-081,2004,14.1,5,22,8,36.4,1.56,0.57,0.23,0.63,0,0
108,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-274,2005,4.1,1,1,1,100.0,0.24,0.24,1.00,1.00,0,0
109,Jaidon Anthony,eng ENG,MF,Burnley,eng Premier League,26-058,1999,16.0,5,25,11,44.0,1.57,0.69,0.20,0.45,0,0
110,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-192,1996,17.0,1,9,3,33.3,0.53,0.18,0.11,0.33,0,0
111,Antoniu,es ESP,MF,Espanyol,es La Liga,23-145,2002,1.1,0,3,0,0.0,2.81,0.00,0.00,,0,0
112,Antony,br BRA,MF,Real Betis,es La Liga,25-338,2000,14.7,5,48,20,41.7,3.27,1.36,0.10,0.25,0,0
113,Youssef El-Arabi,ma MAR,FW,Nantes,fr Ligue 1,38-359,1987,7.7,3,10,6,60.0,1.30,0.78,0.30,0.50,0,1
114,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-120,1995,20.6,3,35,11,31.4,1.70,0.53,0.09,0.27,0,0
115,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-189,2002,17.9,1,15,5,33.3,0.84,0.28,0.07,0.20,0,0
116,Juan Arango,ve VEN,MF,Girona,es La Liga,19-241,2006,0.2,0,0,0,,0.00,0.00,,,0,0
117,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-327,1999,7.2,2,6,4,66.7,0.83,0.55,0.33,0.50,0,0
118,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-214,1996,17.1,0,7,1,14.3,0.41,0.06,0.00,0.00,0,0
119,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,32-335,1993,19.0,0,0,0,,0.00,0.00,,,0,0
120,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-210,1999,12.9,0,3,0,0.0,0.23,0.00,0.00,,0,0
121,Jeremy Arévalo,ec ECU,FW,Stuttgart,de Bundesliga,20-315,2005,0.1,0,0,0,,0.00,0.00,,,0,0
122,Paul Argney,fr FRA,GK,Le Havre,fr Ligue 1,19-250,2006,1.0,0,0,0,,0.00,0.00,,,0,0
123,Iñigo Arguibide,es ESP,DF,Osasuna,es La Liga,20-284,2005,2.0,0,0,0,,0.00,0.00,,,0,0
124,Jhon Arias,co COL,"FW,MF",Wolves,eng Premier League,28-129,1997,12.4,1,16,3,18.8,1.29,0.24,0.06,0.33,0,0
125,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,19-009,2007,2.6,0,0,0,,0.00,0.00,,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
126,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-246,1994,17.0,1,9,5,55.6,0.53,0.29,0.11,0.20,0,0
127,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,25-066,2000,8.4,1,21,4,19.0,2.50,0.48,0.05,0.25,0,0
128,Kervin Arriaga,hn HON,MF,Levante,es La Liga,28-023,1998,10.8,1,6,3,50.0,0.55,0.28,0.17,0.33,0,0
129,Arthur,br BRA,"MF,DF",Leverkusen,de Bundesliga,22-317,2003,8.1,0,8,1,12.5,0.98,0.12,0.00,0.00,0,0
130,Takuma Asano,jp JPN,"MF,FW",Mallorca,es La Liga,31-079,1994,4.8,1,9,2,22.2,1.89,0.42,0.11,0.50,0,0
131,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-349,2003,11.5,2,12,3,25.0,01.05,0.26,0.17,0.67,0,0
132,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-173,2002,13.4,6,39,14,35.9,2.91,01.05,0.15,0.43,0,0
133,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-325,2002,12.5,0,20,4,20.0,1.59,0.32,0.00,0.00,0,1
134,Joel Asoro,se SWE,FW,Metz,fr Ligue 1,26-276,1999,2.5,0,4,1,25.0,1.59,0.40,0.00,0.00,0,0
135,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38-180,1987,8.5,2,16,8,50.0,1.89,0.94,0.06,0.13,1,1
136,Yaser Asprilla,co COL,"FW,MF",Girona,es La Liga,22-070,2003,6.8,0,15,5,33.3,2.21,0.74,0.00,0.00,0,0
137,Lorenz Assignon,tg TOG,"DF,MF",Stuttgart,de Bundesliga,25-220,2000,5.8,0,8,3,37.5,1.39,0.52,0.00,0.00,0,0
138,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-286,2005,7.8,0,12,2,16.7,1.55,0.26,0.00,0.00,0,0
139,Lander Astiazaran,es ESP,MF,Real Sociedad,es La Liga,19-296,2006,0.0,0,1,0,0.0,90.00,0.00,0.00,,0,0
140,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-282,2002,15.3,0,8,0,0.0,0.52,0.00,0.00,,0,0
141,Zachary Athekame,ch SUI,MF,Milan,it Serie A,21-046,2004,2.3,1,3,2,66.7,1.32,0.88,0.33,0.50,0,0
142,Arthur Atta,fr FRA,MF,Udinese,it Serie A,23-014,2003,14.8,2,33,12,36.4,2.23,0.81,0.06,0.17,0,0
143,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-248,2002,19.0,0,0,0,,0.00,0.00,,,0,0
144,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-224,1989,11.6,5,28,16,57.1,2.41,1.38,0.18,0.31,0,0
145,Emil Audero,id IDN,GK,Cremonese,it Serie A,29-010,1997,18.0,0,0,0,,0.00,0.00,,,0,0
146,Carlos Augusto,br BRA,"MF,DF",Inter,it Serie A,27-021,1999,10.5,1,13,4,30.8,1.23,0.38,0.08,0.25,0,0
147,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,25-060,2000,10.3,1,18,7,38.9,1.76,0.68,0.06,0.14,0,0
148,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21-339,2004,18.4,0,10,1,10.0,0.54,0.05,0.00,0.00,0,0
149,Ezequiel Ávila,ar ARG,FW,Real Betis,es La Liga,31-356,1994,1.8,0,5,0,0.0,2.76,0.00,0.00,,0,0
150,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,21-044,2004,14.4,0,14,1,7.1,0.97,0.07,0.00,0.00,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
151,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,29-027,1997,16.8,1,7,4,57.1,0.42,0.24,0.14,0.25,0,0
152,Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,eng Premier League,28-169,1997,2.3,1,6,4,66.7,2.57,1.71,0.17,0.25,0,0
153,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-114,2003,17.9,3,39,10,25.6,2.18,0.56,0.08,0.30,0,0
154,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-210,2001,4.4,0,3,2,66.7,0.68,0.45,0.00,0.00,0,0
155,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36-153,1989,7.5,0,0,0,,0.00,0.00,,,0,0
156,Oussama El Azzouzi,ma MAR,"MF,DF",Auxerre,fr Ligue 1,24-244,2001,8.0,1,5,1,20.0,0.62,0.12,0.20,1.00,0,0
157,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-287,2004,17.0,0,0,0,,0.00,0.00,,,0,0
158,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25-292,2000,14.1,0,8,3,37.5,0.57,0.21,0.00,0.00,0,0
159,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-308,2001,4.7,0,0,0,,0.00,0.00,,,0,0
160,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24-192,2001,7.7,2,12,5,41.7,1.55,0.65,0.17,0.40,0,0
161,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21-303,2004,16.5,2,15,4,26.7,0.91,0.24,0.13,0.50,0,0
162,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,28-172,1997,0.4,0,1,0,0.0,2.81,0.00,0.00,,0,0
163,Leon Bailey,jm JAM,FW,Roma,it Serie A,28-172,1997,2.1,0,3,1,33.3,1.45,0.48,0.00,0.00,0,0
164,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31-291,1994,4.6,0,2,0,0.0,0.44,0.00,0.00,,0,0
165,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,26-154,1999,0.1,0,0,0,,0.00,0.00,,,0,0
166,Cédric Bakambu,cd COD,FW,Real Betis,es La Liga,34-292,1991,1.6,1,8,3,37.5,4.93,1.85,0.13,0.33,0,0
167,Johan Bakayoko,be BEL,"FW,MF",RB Leipzig,de Bundesliga,22-283,2003,7.4,2,18,7,38.9,2.44,0.95,0.11,0.29,0,0
168,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,18-059,2007,0.8,0,2,1,50.0,2.40,1.20,0.00,0.00,0,0
169,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27-295,1998,16.0,1,18,3,16.7,1.12,0.19,0.06,0.33,0,0
170,Dilane Bakwa,fr FRA,MF,Nottingham Forest,eng Premier League,23-155,2002,3.4,0,6,3,50.0,1.78,0.89,0.00,0.00,0,0
171,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,23-155,2002,1.2,1,2,1,50.0,1.68,0.84,0.50,1.00,0,0
172,Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,22-311,2003,4.3,1,11,4,36.4,2.56,0.93,0.09,0.25,0,0
173,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,22-102,2003,13.5,0,8,1,12.5,0.59,0.07,0.00,0.00,0,0
174,Fabio Baldé,pt POR,FW,Hamburger SV,de Bundesliga,20-192,2005,3.4,0,5,3,60.0,1.49,0.89,0.00,0.00,0,0
175,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,22-025,2004,11.1,0,12,0,0.0,01.08,0.00,0.00,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
176,Leonardo Balerdi,ar ARG,"DF,MF",Marseille,fr Ligue 1,27-002,1999,11.1,0,8,2,25.0,0.72,0.18,0.00,0.00,0,0
177,Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,26-128,1999,15.6,2,20,9,45.0,1.28,0.58,0.10,0.22,0,0
178,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,34-027,1992,2.8,0,2,0,0.0,0.71,0.00,0.00,,0,0
