Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1849,Mathias Pereira Lage,pt POR,"FW,MF",St Pauli,de Bundesliga,29-059,1996,15.3,0,29,12,41.4,1.90,0.78,0.00,0.00,0,0
1850,Ayoze Pérez,es ESP,FW,Villarreal,es La Liga,32-183,1993,6.0,2,9,4,44.4,1.49,0.66,0.22,0.50,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1851,Francisco Perez,es ESP,"MF,FW",Rayo Vallecano,es La Liga,23-141,2002,7.8,1,8,5,62.5,01.02,0.64,0.13,0.20,0,0
1852,Joselu Pérez,es ESP,DF,Getafe,es La Liga,21-322,2004,0.2,0,1,0,0.0,04.09,0.00,0.00,,0,0
1853,Matías Pérez,cl CHI,DF,Lecce,it Serie A,20-290,2005,0.3,0,0,0,,0.00,0.00,,,0,0
1854,Simone Perilli,it ITA,GK,Hellas Verona,it Serie A,31-021,1995,2.0,0,0,0,,0.00,0.00,,,0,0
1855,Mattia Perin,it ITA,GK,Juventus,it Serie A,33-079,1992,3.0,0,0,0,,0.00,0.00,,,0,0
1856,Romain Perraud,fr FRA,DF,Lille,fr Ligue 1,28-128,1997,14.5,2,18,8,44.4,1.24,0.55,0.11,0.25,0,0
1857,Lucas Perri,br BRA,GK,Leeds United,eng Premier League,28-049,1997,16.0,0,0,0,,0.00,0.00,,,0,0
1858,Máximo Perrone,ar ARG,MF,Como,it Serie A,23-021,2003,18.2,2,9,5,55.6,0.49,0.27,0.22,0.40,0,0
1859,Massimo Pessina,it ITA,GK,Bologna,it Serie A,18-034,2007,0.9,0,0,0,,0.00,0.00,,,0,0
1860,Prosper Peter,ng NGA,FW,Angers,fr Ligue 1,18-172,2007,8.3,3,15,9,60.0,1.81,01.09,0.20,0.33,0,0
1861,Léo Pétrot,fr FRA,DF,Elche,es La Liga,28-288,1997,8.4,0,5,0,0.0,0.60,0.00,0.00,,0,0
1862,Đorđe Petrović,rs SRB,GK,Bournemouth,eng Premier League,26-112,1999,23.0,0,0,0,,0.00,0.00,,,0,0
1863,Giuseppe Pezzella,it ITA,MF,Cremonese,it Serie A,28-060,1997,14.7,0,3,0,0.0,0.20,0.00,0.00,,0,0
1864,Immanuel Pherai,sr SUR,"FW,MF",Hamburger SV,de Bundesliga,24-278,2001,0.3,0,1,0,0.0,3.10,0.00,0.00,,0,0
1865,Rayan Philippe,fr FRA,"FW,MF",Hamburger SV,de Bundesliga,25-097,2000,10.7,4,29,12,41.4,2.70,1.12,0.14,0.33,0,1
1866,Gabriele Piccinini,it ITA,MF,Pisa,it Serie A,24-297,2001,6.5,0,12,5,41.7,1.84,0.77,0.00,0.00,0,0
1867,Roberto Piccoli,it ITA,FW,Fiorentina,it Serie A,25-001,2001,10.4,2,28,10,35.7,2.69,0.96,0.07,0.20,0,0
1868,Charles Pickel,cd COD,MF,Espanyol,es La Liga,28-258,1997,4.2,0,6,2,33.3,1.44,0.48,0.00,0.00,0,0
1869,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31-327,1994,23.0,0,0,0,,0.00,0.00,,,0,0
1870,Amos Pieper,de GER,DF,Werder Bremen,de Bundesliga,28-011,1998,10.7,0,8,2,25.0,0.75,0.19,0.00,0.00,0,0
1871,Marvin Pieringer,de GER,FW,Heidenheim,de Bundesliga,26-116,1999,8.7,2,17,4,23.5,1.96,0.46,0.12,0.50,0,0
1872,Nicholas Pierini,it ITA,FW,Sassuolo,it Serie A,27-175,1998,1.6,0,5,2,40.0,3.17,1.27,0.00,0.00,0,0
1873,Santiago Pierotti,ar ARG,"MF,FW",Lecce,it Serie A,24-300,2001,14.6,0,19,4,21.1,1.30,0.27,0.00,0.00,0,0
1874,Balthazar Pierret,fr FRA,MF,Lecce,it Serie A,25-258,2000,0.3,0,0,0,,0.00,0.00,,,0,0
1875,Andrea Pinamonti,it ITA,FW,Sassuolo,it Serie A,26-254,1999,18.5,4,46,19,41.3,2.48,01.03,0.09,0.21,0,1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1876,Lander Pinillos,es ESP,MF,Alavés,es La Liga,22-114,2003,0.0,0,0,0,,0.00,0.00,,,0,0
1877,Ethan Pinnock,jm JAM,DF,Brentford,eng Premier League,32-244,1993,2.5,0,0,0,,0.00,0.00,,,0,0
1878,Yeremi Pino,es ESP,MF,Crystal Palace,eng Premier League,23-100,2002,16.3,2,34,9,26.5,02.09,0.55,0.06,0.22,0,0
1879,Yeremi Pino,es ESP,MF,Villarreal,es La Liga,23-100,2002,1.8,0,2,1,50.0,1.13,0.57,0.00,0.00,0,0
1880,Jakub Piotrowski,pl POL,MF,Udinese,it Serie A,28-116,1997,11.8,1,23,5,21.7,1.95,0.42,0.04,0.20,0,0
1881,Joël Piroe,nl NED,FW,Leeds United,eng Premier League,26-179,1999,2.3,0,9,2,22.2,3.88,0.86,0.00,0.00,0,0
1882,Niccolò Pisilli,it ITA,MF,Roma,it Serie A,21-127,2004,3.4,0,7,1,14.3,02.09,0.30,0.00,0.00,0,0
1883,Damián Pizarro,cl CHI,FW,Le Havre,fr Ligue 1,20-306,2005,0.3,0,0,0,,0.00,0.00,,,0,0
1884,Tommaso Pobega,it ITA,MF,Bologna,it Serie A,26-197,1999,11.6,2,20,8,40.0,1.72,0.69,0.10,0.25,0,0
1885,Paul Pogba,fr FRA,MF,Monaco,fr Ligue 1,32-319,1993,0.4,0,0,0,,0.00,0.00,,,0,0
1886,Ernest Poku,nl NED,MF,Leverkusen,de Bundesliga,22-000,2004,10.8,4,21,7,33.3,1.94,0.65,0.19,0.57,0,0
1887,Matteo Politano,it ITA,"MF,FW",Napoli,it Serie A,32-178,1993,14.6,0,34,6,17.6,2.33,0.41,0.00,0.00,0,0
1888,Marin Pongračić,hr CRO,DF,Fiorentina,it Serie A,28-139,1997,20.0,0,7,1,14.3,0.35,0.05,0.00,0.00,0,0
1889,Nick Pope,eng ENG,GK,Newcastle United,eng Premier League,33-284,1992,16.8,0,0,0,,0.00,0.00,,,0,0
1890,Pedro Porro,es ESP,DF,Tottenham Hotspur,eng Premier League,26-137,1999,20.3,0,17,2,11.8,0.84,0.10,0.00,0.00,0,0
1891,Portu,es ESP,"FW,MF",Girona,es La Liga,33-252,1992,5.3,0,9,5,55.6,1.71,0.95,0.00,0.00,0,0
1892,Stefan Posch,at AUT,DF,Como,it Serie A,28-259,1997,4.4,1,8,3,37.5,1.83,0.69,0.13,0.33,0,0
1893,Stefan Posch,at AUT,DF,Mainz 05,de Bundesliga,28-259,1997,1.0,0,0,0,,0.00,0.00,,,0,0
1894,Freddie Potts,eng ENG,MF,West Ham United,eng Premier League,22-138,2003,11.0,0,3,1,33.3,0.27,0.09,0.00,0.00,0,0
1895,Kacper Potulski,pl POL,DF,Mainz 05,de Bundesliga,18-101,2007,4.6,1,4,1,25.0,0.86,0.22,0.25,1.00,0,0
1896,Yussuf Poulsen,dk DEN,FW,Hamburger SV,de Bundesliga,31-227,1994,2.3,1,7,3,42.9,03.03,1.30,0.14,0.33,0,0
1897,Beñat Prados,es ESP,MF,Athletic Club,es La Liga,24-354,2001,0.9,0,1,0,0.0,01.06,0.00,0.00,,0,0
1898,Alexander Prass,at AUT,MF,Hoffenheim,de Bundesliga,24-247,2001,7.7,1,9,5,55.6,1.16,0.65,0.11,0.20,0,0
1899,Matteo Prati,it ITA,MF,Cagliari,it Serie A,22-031,2003,14.1,1,19,1,5.3,1.35,0.07,0.05,1.00,0,0
1900,Abdón Prats,es ESP,FW,Mallorca,es La Liga,33-052,1992,0.9,0,4,1,25.0,4.24,01.06,0.00,0.00,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1901,Grischa Prömel,de GER,MF,Hoffenheim,de Bundesliga,31-019,1995,10.0,6,23,8,34.8,2.31,0.80,0.26,0.75,0,0
1902,Ivan Provedel,it ITA,GK,Lazio,it Serie A,31-317,1994,22.0,0,0,0,,0.00,0.00,,,0,0
1903,Javi Puado,es ESP,"MF,FW",Espanyol,es La Liga,27-248,1998,7.5,2,15,9,60.0,2.00,1.20,0.07,0.11,1,2
1904,Marc Pubill,es ESP,DF,Atlético Madrid,es La Liga,22-222,2003,7.3,0,4,1,25.0,0.55,0.14,0.00,0.00,0,0
1905,Cameron Puertas,ch SUI,MF,Werder Bremen,de Bundesliga,27-163,1998,9.3,0,19,4,21.1,02.04,0.43,0.00,0.00,0,0
1906,Christian Pulisic,us USA,FW,Milan,it Serie A,27-132,1998,9.8,8,30,17,56.7,03.07,1.74,0.27,0.47,0,1
1907,Arkadiusz Pyrka,pl POL,"MF,DF",St Pauli,de Bundesliga,23-130,2002,13.7,0,7,2,28.6,0.51,0.15,0.00,0.00,0,0
1908,Jarell Quansah,eng ENG,DF,Leverkusen,de Bundesliga,22-364,2003,12.9,1,4,3,75.0,0.31,0.23,0.25,0.33,0,0
1909,Leopold Querfeld,at AUT,DF,Union Berlin,de Bundesliga,22-039,2003,19.0,0,18,6,33.3,0.95,0.32,0.00,0.00,0,1
1910,Kenny Quetant,fr FRA,FW,Le Havre,fr Ligue 1,19-195,2006,2.6,1,4,2,50.0,1.52,0.76,0.25,0.50,0,0
1911,Dani Raba,es ESP,FW,Valencia,es La Liga,30-091,1995,2.8,0,7,1,14.3,2.50,0.36,0.00,0.00,0,0
1912,Adrien Rabiot,fr FRA,MF,Milan,it Serie A,30-300,1995,14.3,3,21,5,23.8,1.46,0.35,0.14,0.60,0,0
1913,Adrien Rabiot,fr FRA,MF,Marseille,fr Ligue 1,30-300,1995,1.0,0,1,0,0.0,1.00,0.00,0.00,,0,0
1914,Uroš Radaković,rs SRB,DF,Nantes,fr Ligue 1,31-303,1994,0.3,0,0,0,,0.00,0.00,,,0,0
1915,Ionuț Radu,ro ROU,GK,Celta Vigo,es La Liga,28-245,1997,21.0,0,0,0,,0.00,0.00,,,0,0
1916,Ugo Raghouber,fr FRA,MF,Levante,es La Liga,22-199,2003,1.3,0,0,0,,0.00,0.00,,,0,0
1917,Ugo Raghouber,fr FRA,MF,Lille,fr Ligue 1,22-199,2003,0.0,0,0,0,,0.00,0.00,,,0,0
1918,Antonio Raillo,es ESP,DF,Mallorca,es La Liga,34-112,1991,18.0,0,9,1,11.1,0.50,0.06,0.00,0.00,0,0
1919,Ylber Ramadani,al ALB,MF,Lecce,it Serie A,29-291,1996,20.0,0,13,1,7.7,0.65,0.05,0.00,0.00,0,0
1920,Diant Ramaj,de GER,GK,Heidenheim,de Bundesliga,24-131,2001,19.0,0,0,0,,0.00,0.00,,,0,0
1921,Largie Ramazani,be BEL,"FW,MF",Valencia,es La Liga,24-335,2001,2.1,1,11,4,36.4,5.18,1.88,0.00,0.00,1,1
1922,Jacobo Ramón,es ESP,DF,Como,it Serie A,21-022,2005,18.0,2,19,4,21.1,01.06,0.22,0.11,0.50,0,0
1923,Gonçalo Ramos,pt POR,FW,Paris Saint-Germain,fr Ligue 1,24-222,2001,9.8,4,36,18,50.0,3.66,1.83,0.08,0.17,1,1
1924,Guilherme Ramos,pt POR,DF,Hamburger SV,de Bundesliga,28-170,1997,0.5,0,1,1,100.0,1.87,1.87,0.00,0.00,0,0
1925,Aaron Ramsdale,eng ENG,GK,Newcastle United,eng Premier League,27-259,1998,6.2,0,0,0,,0.00,0.00,,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1926,Jacob Ramsey,eng ENG,MF,Newcastle United,eng Premier League,24-245,2001,6.2,0,4,1,25.0,0.65,0.16,0.00,0.00,0,0
1927,Luca Ranieri,it ITA,DF,Fiorentina,it Serie A,26-280,1999,14.3,1,11,3,27.3,0.77,0.21,0.09,0.33,0,0
1928,Grant Ranos,am ARM,FW,Gladbach,de Bundesliga,22-192,2003,1.3,1,4,2,50.0,03.03,1.51,0.25,0.50,0,0
1929,Lilian Raolisoa,fr FRA,"MF,FW",Angers,fr Ligue 1,25-226,2000,9.4,1,6,2,33.3,0.64,0.21,0.17,0.50,0,0
1930,Raphinha,br BRA,MF,Barcelona,es La Liga,29-045,1996,9.1,8,38,11,28.9,4.16,1.20,0.18,0.64,1,1
1931,Marcus Rashford,eng ENG,MF,Barcelona,es La Liga,28-089,1997,12.6,3,52,19,36.5,4.11,1.50,0.06,0.16,0,0
1932,Mathias Rasmussen,no NOR,MF,St Pauli,de Bundesliga,28-064,1997,0.2,0,0,0,,0.00,0.00,,,0,0
1933,Giacomo Raspadori,it ITA,MF,Atalanta,it Serie A,25-344,2000,1.4,1,5,2,40.0,3.60,1.44,0.20,0.50,0,0
1934,Giacomo Raspadori,it ITA,FW,Atlético Madrid,es La Liga,25-344,2000,2.6,0,7,3,42.9,2.67,1.14,0.00,0.00,0,0
1935,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,es La Liga,27-222,1998,17.4,0,18,6,33.3,01.03,0.34,0.00,0.00,0,0
1936,Petar Ratkov,rs SRB,FW,Lazio,it Serie A,22-163,2003,1.3,0,0,0,,0.00,0.00,,,0,0
1937,Raúl,es ESP,FW,Osasuna,es La Liga,25-086,2000,7.3,3,19,11,57.9,2.60,1.50,0.16,0.27,0,0
1938,David Raum,de GER,DF,RB Leipzig,de Bundesliga,27-281,1998,18.6,3,18,5,27.8,0.97,0.27,0.11,0.40,1,1
1939,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,26-078,1999,11.3,0,0,0,,0.00,0.00,,,0,0
1940,David Raya,es ESP,GK,Arsenal,eng Premier League,30-135,1995,23.0,0,0,0,,0.00,0.00,,,0,0
1941,Abde Rebbach,dz ALG,MF,Alavés,es La Liga,27-170,1998,8.7,0,24,8,33.3,2.74,0.91,0.00,0.00,0,0
1942,Federico Redondo,ar ARG,MF,Elche,es La Liga,23-010,2003,0.4,0,0,0,,0.00,0.00,,,0,0
1943,Harrison Reed,eng ENG,MF,Fulham,eng Premier League,31-001,1995,0.2,1,1,1,100.0,5.29,5.29,1.00,1.00,0,0
1944,Alejandro Rego,es ESP,MF,Athletic Club,es La Liga,22-231,2003,4.8,1,6,2,33.3,1.24,0.41,0.17,0.50,0,0
1945,Tijjani Reijnders,nl NED,MF,Manchester City,eng Premier League,27-183,1998,15.6,5,38,14,36.8,2.43,0.90,0.13,0.36,0,0
1946,Alberto Reina,es ESP,MF,Oviedo,es La Liga,28-141,1997,12.2,2,12,5,41.7,0.98,0.41,0.17,0.40,0,0
1947,Vitor Reis,br BRA,DF,Girona,es La Liga,20-016,2006,18.9,1,8,2,25.0,0.42,0.11,0.13,0.50,0,0
1948,Rocco Reitz,de GER,MF,Gladbach,de Bundesliga,23-244,2002,17.8,0,28,10,35.7,1.57,0.56,0.00,0.00,0,0
1949,Nicolai Remberg,de GER,MF,Hamburger SV,de Bundesliga,25-223,2000,17.0,0,12,6,50.0,0.71,0.35,0.00,0.00,0,0
1950,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,30-310,1995,21.0,0,0,0,,0.00,0.00,,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1951,Devyne Rensch,nl NED,"MF,DF",Roma,it Serie A,23-010,2003,5.5,0,3,1,33.3,0.55,0.18,0.00,0.00,0,0
1952,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,20-323,2005,19.0,0,0,0,,0.00,0.00,,,0,0
1953,Elvis Rexhbeçaj,xk KVX,MF,Augsburg,de Bundesliga,28-088,1997,8.9,1,9,3,33.3,01.01,0.34,0.11,0.33,0,0
1954,Oriol Rey,es ESP,MF,Levante,es La Liga,27-337,1998,8.3,0,4,1,25.0,0.48,0.12,0.00,0.00,0,0
1955,Gio Reyna,us USA,MF,Gladbach,de Bundesliga,23-076,2002,4.5,0,5,1,20.0,1.12,0.22,0.00,0.00,0,0
1956,Chadi Riad,ma MAR,DF,Crystal Palace,eng Premier League,22-225,2003,0.2,0,1,1,100.0,6.00,6.00,0.00,0.00,0,0
1957,Alexsandro Ribeiro,br BRA,DF,Lille,fr Ligue 1,26-172,1999,3.6,0,3,2,66.7,0.83,0.55,0.00,0.00,0,0
1958,Samuele Ricci,it ITA,MF,Milan,it Serie A,24-160,2001,9.9,1,14,6,42.9,1.41,0.61,0.07,0.17,0,0
1959,Declan Rice,eng ENG,MF,Arsenal,eng Premier League,27-014,1999,20.8,4,32,12,37.5,1.54,0.58,0.13,0.33,0,0
1960,Chris Richards,us USA,DF,Crystal Palace,eng Premier League,25-306,2000,18.9,1,6,1,16.7,0.32,0.05,0.17,1.00,0,0
1961,Amir Richardson,ma MAR,MF,Fiorentina,it Serie A,24-004,2002,0.5,0,1,0,0.0,2.14,0.00,0.00,,0,0
1962,Richarlison,br BRA,FW,Tottenham Hotspur,eng Premier League,28-263,1997,14.3,7,36,13,36.1,2.53,0.91,0.19,0.54,0,0
1963,Diego Rico,es ESP,DF,Getafe,es La Liga,32-339,1993,17.0,0,9,1,11.1,0.53,0.06,0.00,0.00,0,0
1964,Clemens Riedel,de GER,DF,Espanyol,es La Liga,22-193,2003,5.8,0,3,1,33.3,0.52,0.17,0.00,0.00,0,0
1965,Fabian Rieder,ch SUI,MF,Rennes,fr Ligue 1,23-346,2002,1.5,0,1,0,0.0,0.68,0.00,0.00,,0,0
1966,Fabian Rieder,ch SUI,MF,Augsburg,de Bundesliga,23-346,2002,13.9,3,25,7,28.0,1.80,0.50,0.08,0.29,1,1
1967,Lasse Rieß,de GER,GK,Mainz 05,de Bundesliga,24-185,2001,3.2,0,0,0,,0.00,0.00,,,0,0
1968,Chris Rigg,eng ENG,MF,Sunderland,eng Premier League,18-224,2007,4.2,0,4,0,0.0,0.95,0.00,0.00,,0,0
1969,Filippo Rinaldi,it ITA,GK,Parma,it Serie A,23-055,2002,1.0,0,0,0,,0.00,0.00,,,0,0
1970,Hugo Rincón,es ESP,"DF,MF",Girona,es La Liga,23-001,2003,11.3,0,3,0,0.0,0.26,0.00,0.00,,0,0
1971,Luis Rioja,es ESP,MF,Valencia,es La Liga,32-104,1993,15.3,1,26,3,11.5,1.69,0.20,0.04,0.33,0,0
1972,Rodrigo Riquelme,es ESP,MF,Real Betis,es La Liga,25-301,2000,6.5,0,16,4,25.0,2.45,0.61,0.00,0.00,0,0
1973,Robin Risser,fr FRA,GK,Lens,fr Ligue 1,21-057,2004,19.0,0,0,0,,0.00,0.00,,,0,0
1974,Mihailo Ristić,rs SRB,"MF,DF",Celta Vigo,es La Liga,30-089,1995,2.8,0,1,0,0.0,0.36,0.00,0.00,,0,0
1975,Lars Ritzka,de GER,"DF,MF",St Pauli,de Bundesliga,27-266,1998,5.1,0,1,0,0.0,0.20,0.00,0.00,,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
1976,Sergi Roberto,es ESP,MF,Como,it Serie A,33-355,1992,2.8,0,5,1,20.0,1.79,0.36,0.00,0.00,0,0
1977,Patrick Roberts,eng ENG,"FW,MF",Sunderland,eng Premier League,28-357,1997,0.3,0,1,0,0.0,3.21,0.00,0.00,,0,0
1978,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,31-323,1994,6.1,0,3,1,33.3,0.49,0.16,0.00,0.00,0,0
1979,Antonee Robinson,us USA,"DF,MF",Fulham,eng Premier League,28-173,1997,8.2,0,2,0,0.0,0.25,0.00,0.00,,0,0
1980,Joel Roca,es ESP,"MF,FW",Girona,es La Liga,20-235,2005,9.0,1,22,7,31.8,2.45,0.78,0.05,0.14,0,0
1981,Marc Roca,es ESP,MF,Real Betis,es La Liga,29-063,1996,12.1,0,8,4,50.0,0.66,0.33,0.00,0.00,0,0
1982,Ryan Rodin,fr FRA,MF,Auxerre,fr Ligue 1,19-332,2006,0.3,0,0,0,,0.00,0.00,,,0,0
1983,Kaden Rodney,eng ENG,"DF,MF",Crystal Palace,eng Premier League,21-113,2004,0.0,0,0,0,,0.00,0.00,,,0,0
1984,Joe Rodon,wls WAL,DF,Leeds United,eng Premier League,28-098,1997,20.3,2,12,4,33.3,0.59,0.20,0.17,0.50,0,0
1985,Rodri,es ESP,MF,Manchester City,eng Premier League,29-220,1996,7.1,0,3,1,33.3,0.43,0.14,0.00,0.00,0,0
1986,Álvaro Rodríguez,uy URU,FW,Elche,es La Liga,21-198,2004,12.1,4,38,14,36.8,3.13,1.15,0.11,0.29,0,0
1987,Damián Rodríguez,es ESP,MF,Celta Vigo,es La Liga,22-317,2003,1.7,0,3,0,0.0,1.80,0.00,0.00,,0,0
1988,Dani Rodríguez,es ESP,"FW,MF",Mallorca,es La Liga,37-236,1988,0.8,0,1,0,0.0,1.32,0.00,0.00,,0,0
1989,Guido Rodríguez,ar ARG,MF,West Ham United,eng Premier League,31-291,1994,2.0,0,1,0,0.0,0.50,0.00,0.00,,0,0
1990,Javi Rodríguez,es ESP,DF,Celta Vigo,es La Liga,22-216,2003,13.6,0,4,1,25.0,0.29,0.07,0.00,0.00,0,0
1991,Jesus Rodríguez,es ESP,MF,Como,it Serie A,20-068,2005,13.7,0,33,7,21.2,2.42,0.51,0.00,0.00,0,0
1992,Juan Rodríguez,uy URU,DF,Cagliari,it Serie A,20-243,2005,5.2,0,1,1,100.0,0.19,0.19,0.00,0.00,0,0
1993,Ricardo Rodríguez,ch SUI,DF,Real Betis,es La Liga,33-156,1992,8.6,0,2,0,0.0,0.23,0.00,0.00,,0,0
1994,Rodrygo,br BRA,"MF,FW",Real Madrid,es La Liga,25-019,2001,7.0,1,23,9,39.1,3.26,1.28,0.04,0.11,0,0
1995,Robin Roefs,nl NED,GK,Sunderland,eng Premier League,23-011,2003,23.0,0,0,0,,0.00,0.00,,,0,0
1996,Morgan Rogers,eng ENG,"MF,FW",Aston Villa,eng Premier League,23-186,2002,22.7,7,48,21,43.8,2.11,0.92,0.15,0.33,0,0
1997,Merlin Röhl,de GER,MF,Everton,eng Premier League,23-207,2002,4.0,0,7,0,0.0,1.75,0.00,0.00,,0,0
1998,Merlin Röhl,de GER,MF,Freiburg,de Bundesliga,23-207,2002,0.7,0,0,0,,0.00,0.00,,,0,0
1999,Filippo Romagna,it ITA,DF,Sassuolo,it Serie A,28-247,1997,2.2,0,1,0,0.0,0.45,0.00,0.00,,0,0
2000,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,31-016,1995,19.3,0,5,2,40.0,0.26,0.10,0.00,0.00,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
2001,Leo Román,es ESP,GK,Mallorca,es La Liga,25-206,2000,16.0,0,0,0,,0.00,0.00,,,0,0
2002,Miguel Román,es ESP,MF,Celta Vigo,es La Liga,23-033,2002,8.6,1,8,2,25.0,0.93,0.23,0.13,0.50,0,0
2003,Alessandro Romano,ch SUI,MF,Roma,it Serie A,19-225,2006,0.1,0,0,0,,0.00,0.00,,,0,0
2004,Carlos Romero,es ESP,DF,Espanyol,es La Liga,24-091,2001,19.6,4,19,6,31.6,0.97,0.31,0.21,0.67,0,0
2005,Cristian Romero,ar ARG,DF,Tottenham Hotspur,eng Premier League,27-276,1998,18.2,4,15,6,40.0,0.83,0.33,0.27,0.67,0,0
2006,Isaac Romero,es ESP,FW,Sevilla,es La Liga,25-255,2000,10.6,3,26,11,42.3,2.46,01.04,0.12,0.27,0,1
2007,Iván Romero,es ESP,"FW,MF",Levante,es La Liga,24-293,2001,14.6,4,33,9,27.3,2.27,0.62,0.12,0.44,0,0
2008,Zaid Romero,ar ARG,DF,Getafe,es La Liga,26-044,1999,1.0,0,2,0,0.0,2.00,0.00,0.00,,0,0
2009,Rômulo,br BRA,FW,RB Leipzig,de Bundesliga,23-354,2002,13.1,6,28,13,46.4,2.14,0.99,0.21,0.46,0,0
2010,Salomón Rondón,ve VEN,FW,Oviedo,es La Liga,36-134,1989,11.5,2,24,5,20.8,02.09,0.44,0.08,0.40,0,1
2011,Valentin Rongier,fr FRA,MF,Rennes,fr Ligue 1,31-052,1994,17.5,1,16,6,37.5,0.91,0.34,0.06,0.17,0,0
2012,Marten de Roon,nl NED,MF,Atalanta,it Serie A,34-305,1991,16.9,1,11,4,36.4,0.65,0.24,0.09,0.25,0,0
2013,Pablo Rosario,do DOM,"DF,MF",Nice,fr Ligue 1,29-021,1997,0.3,0,2,1,50.0,6.43,3.21,0.00,0.00,0,0
2014,Max Rosenfelder,de GER,DF,Freiburg,de Bundesliga,22-352,2003,3.3,0,1,0,0.0,0.30,0.00,0.00,,0,0
2015,Lucas Rosier,fr FRA,FW,Rennes,fr Ligue 1,18-322,2007,0.0,0,0,0,,0.00,0.00,,,0,0
2016,Valentin Rosier,fr FRA,"MF,DF",Osasuna,es La Liga,29-162,1996,11.5,0,3,0,0.0,0.26,0.00,0.00,,0,0
2017,Tom Rothe,de GER,"DF,MF",Union Berlin,de Bundesliga,21-091,2004,6.0,1,11,3,27.3,1.82,0.50,0.09,0.33,0,0
2018,Anthony Rouault,fr FRA,DF,Rennes,fr Ligue 1,24-244,2001,10.5,1,5,1,20.0,0.48,0.10,0.20,1.00,0,0
2019,Nicolò Rovella,it ITA,MF,Lazio,it Serie A,24-055,2001,2.9,0,1,0,0.0,0.35,0.00,0.00,,0,0
2020,Jonathan Rowe,eng ENG,MF,Bologna,it Serie A,22-273,2003,7.8,0,22,8,36.4,2.81,01.02,0.00,0.00,0,0
2021,Jonathan Rowe,eng ENG,FW,Marseille,fr Ligue 1,22-273,2003,0.7,0,5,0,0.0,7.26,0.00,0.00,,0,0
2022,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,31-338,1994,13.3,1,8,1,12.5,0.60,0.08,0.13,1.00,0,0
2023,Rubén,es ESP,DF,Espanyol,es La Liga,24-358,2001,5.0,0,2,0,0.0,0.40,0.00,0.00,,0,0
2024,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,32-331,1993,6.7,0,3,0,0.0,0.45,0.00,0.00,,0,0
2025,Javier Rueda Garcia,es ESP,MF,Celta Vigo,es La Liga,23-265,2002,8.1,2,7,3,42.9,0.87,0.37,0.29,0.67,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt
2026,Daniele Rugani,it ITA,DF,Juventus,it Serie A,31-183,1994,2.8,0,0,0,,0.00,0.00,,,0,0
2027,Matteo Ruggeri,it ITA,DF,Atlético Madrid,es La Liga,23-201,2002,9.6,0,3,2,66.7,0.31,0.21,0.00,0.00,0,0
2028,Aitor Ruibal,es ESP,"MF,DF",Real Betis,es La Liga,29-312,1996,10.5,4,18,9,50.0,1.72,0.86,0.22,0.44,0,0
2029,Abel Ruiz,es ESP,FW,Girona,es La Liga,26-000,2000,0.4,0,0,0,,0.00,0.00,,,0,0
2030,Fabián Ruiz Peña,es ESP,MF,Paris Saint-Germain,fr Ligue 1,29-300,1996,8.8,1,13,4,30.8,1.47,0.45,0.08,0.25,0,0
2031,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33-253,1992,16.0,0,0,0,,0.00,0.00,,,0,0
